NAME,REVIEW,TIME STAMP,USER ID,GENRE
DADDY'S HOME,"""Hilarious and heartwarming."" -Fandango
See #DaddysHome in theaters now! 
http://fandan.co/1NlJGC0",2016-01-12T23:49:43+0000,635978886531293_848864331909413,COMEDY
DADDY'S HOME,"""I love how you drew my hair"" #💩
Don't miss Daddy's Home in theaters now.",2016-01-05T21:51:06+0000,635978886531293_845215088941004,COMEDY
DADDY'S HOME,"""This one's for Dylan and Megan and Sara and Dylan."" #DaddysHome #NowPlaying",2015-12-27T18:08:50+0000,635978886531293_840628632732983,COMEDY
DADDY'S HOME,#DaddysHome2 hits theatres in one month!,2017-10-10T17:00:00+0000,635978886531293_1408984552564052,COMEDY
DADDY'S HOME,#DaddysHome2 is a home run for the whole family! Get tickets now to see it in theatres November 10: tickets.daddyshomemovie.com,2017-11-01T00:31:48+0000,635978886531293_1427043610758146,COMEDY
DADDY'S HOME,#DADVICE: There's no better place for quality family time than your kid's school dance. Have an embarrassing school dance story? Share it below!,2017-10-17T18:55:55+0000,635978886531293_1414944348634739,COMEDY
DADDY'S HOME,#Dadvice: Who's taking a family trip this weekend? #DaddysHome2,2017-10-06T15:59:17+0000,635978886531293_1405660832896424,COMEDY
DADDY'S HOME,"#tbt to the set of #DaddysHome2 with Mark Wahlberg, Will Ferrell and Mel Gibson!",2017-06-01T20:20:54+0000,635978886531293_1288506911278484,COMEDY
DADDY'S HOME,“Ferrell and Wahlberg are comedy magic” -Fandango. See Daddy's Home in theaters now!,2016-01-01T21:59:07+0000,635978886531293_837771619685351,COMEDY
DADDY'S HOME,A man’s home is his tree castle. #DaddysHome,2015-12-31T21:33:09+0000,635978886531293_842735712522275,COMEDY
DADDY'S HOME,"Add some family fun to your week with #DaddysHome2, NOW PLAYING in theatres everywhere!  🎟️: bit.ly/DH2Tix",2017-12-01T18:30:31+0000,635978886531293_1455196764609497,COMEDY
DADDY'S HOME,Are you #TeamWahlberg or #TeamFerrell?,2016-03-11T01:34:07+0000,635978886531293_880667765395736,COMEDY
DADDY'S HOME,Because raising good children requires teamwork. http://gwi.io/fbGetDaddysHomeNow,2016-03-30T16:00:17+0000,635978886531293_894957553966757,COMEDY
DADDY'S HOME,Born to be mild. #DaddysHome,2015-12-09T17:59:06+0000,635978886531293_831452286983951,COMEDY
DADDY'S HOME,"Brad hearing the words ""best friends"" = 😍 😭  Tag your BFF (just try not to get too emotional about it). #DaddysHome2",2017-09-20T17:07:14+0000,635978886531293_1393317857464055,COMEDY
DADDY'S HOME,"Brad's world is turned upside down when his wife's ex, Dusty, comes for a visit. See the hijinks in Daddy's Home on DIGITAL HD: http://gwi.io/fbGetDaddysHomeNow",2016-03-09T17:00:12+0000,635978886531293_879914092137770,COMEDY
DADDY'S HOME,Bring the whole family to the #1 comedy in America! #DaddysHome2 is now playing in theatres everywhere! 🎟️: bit.ly/DH2Tix,2017-11-18T16:49:43+0000,635978886531293_1442840385845135,COMEDY
